time,co,sitename,siteid,no2,pm25
2017/10/17 14,0.5,浦东川沙,193,17.0,12.7
2017/10/17 14,0.4,浦东张江,195,15.0,13.8
2017/10/17 14,0.4,浦东监测站,228,20.0,10.5
2017/10/17 14,0.5,全市平均,0,19.0,12.9
time,co,sitename,siteid,no2,pm25
2017/10/17 15,0.3,普陀监测站,201,21.0,11.0
2017/10/17 15,0.5,杨浦四漂,209,14.0,13.8
2017/10/17 15,0.6,卢湾师专附小,185,24.0,14.0
2017/10/17 15,0.4,*青浦淀山湖,203,19.0,15.6
2017/10/17 15,0.6,虹口凉城,215,22.0,14.3
2017/10/17 15,0.6,静安监测站,183,24.0,14.0
2017/10/17 15,－,徐汇上师大,207,－,13.6
2017/10/17 15,0.5,浦东川沙,193,18.0,13.0
2017/10/17 15,0.4,浦东张江,195,－,14.1
2017/10/17 15,0.4,浦东监测站,228,20.0,10.7
2017/10/17 15,0.5,全市平均,0,20.4,13.1
time,co,sitename,siteid,no2,pm25
2017/10/17 16,0.3,普陀监测站,201,25.0,11.1
2017/10/17 16,0.6,杨浦四漂,209,18.0,13.9
2017/10/17 16,0.6,卢湾师专附小,185,23.0,14.4
2017/10/17 16,0.4,*青浦淀山湖,203,17.0,15.6
2017/10/17 16,0.6,虹口凉城,215,29.0,14.6
2017/10/17 16,0.6,静安监测站,183,25.0,14.3
2017/10/17 16,0.7,徐汇上师大,207,23.0,14.6
2017/10/17 16,0.5,浦东川沙,193,21.0,13.3
2017/10/17 16,0.4,浦东张江,195,20.0,14.5
2017/10/17 16,0.4,浦东监测站,228,20.0,11.0
2017/10/17 16,0.5,全市平均,0,22.7,13.5
time,co,sitename,siteid,no2,pm25
2017/10/17 17,0.3,普陀监测站,201,23.0,11.3
2017/10/17 17,0.6,杨浦四漂,209,17.0,14.0
2017/10/17 17,0.6,卢湾师专附小,185,21.0,14.6
2017/10/17 17,0.4,*青浦淀山湖,203,18.0,15.8
2017/10/17 17,0.6,虹口凉城,215,25.0,14.9
2017/10/17 17,0.6,静安监测站,183,26.0,14.5
2017/10/17 17,0.7,徐汇上师大,207,25.0,14.9
2017/10/17 17,0.5,浦东川沙,193,23.0,13.7
2017/10/17 17,0.4,浦东张江,195,25.0,14.9
2017/10/17 17,0.4,浦东监测站,228,26.0,11.4
2017/10/17 17,0.5,全市平均,0,23.4,13.8
time,co,sitename,siteid,no2,pm25
2017/10/17 18,0.3,普陀监测站,201,27.0,11.5
2017/10/17 18,0.6,杨浦四漂,209,22.0,14.1
2017/10/17 18,0.6,卢湾师专附小,185,28.0,14.7
2017/10/17 18,0.4,*青浦淀山湖,203,23.0,16.0
2017/10/17 18,0.6,虹口凉城,215,29.0,14.8
2017/10/17 18,0.6,静安监测站,183,31.0,14.5
2017/10/17 18,0.6,徐汇上师大,207,23.0,14.9
2017/10/17 18,0.6,浦东川沙,193,29.0,13.8
2017/10/17 18,0.4,浦东张江,195,27.0,15.3
2017/10/17 18,0.4,浦东监测站,228,29.0,11.5
2017/10/17 18,0.5,全市平均,0,27.2,13.9
time,co,sitename,siteid,no2,pm25
2017/10/17 19,0.4,普陀监测站,201,32.0,11.5
2017/10/17 19,0.7,杨浦四漂,209,27.0,14.5
2017/10/17 19,0.7,卢湾师专附小,185,31.0,14.9
2017/10/17 19,0.4,*青浦淀山湖,203,23.0,15.8
2017/10/17 19,0.6,虹口凉城,215,39.0,15.0
2017/10/17 19,0.6,静安监测站,183,34.0,14.7
2017/10/17 19,0.7,徐汇上师大,207,29.0,15.1
2017/10/17 19,0.6,浦东川沙,193,31.0,14.2
2017/10/17 19,0.4,浦东张江,195,31.0,15.6
2017/10/17 19,0.4,浦东监测站,228,31.0,11.8
2017/10/17 19,0.6,全市平均,0,31.7,14.1
time,co,sitename,siteid,no2,pm25
2017/10/17 20,0.4,普陀监测站,201,40.0,11.5
2017/10/17 20,0.7,杨浦四漂,209,35.0,14.9
2017/10/17 20,0.7,卢湾师专附小,185,38.0,15.4
2017/10/17 20,0.4,*青浦淀山湖,203,25.0,15.8
2017/10/17 20,0.5,虹口凉城,215,49.0,15.1
2017/10/17 20,0.6,静安监测站,183,39.0,14.8
2017/10/17 20,0.7,徐汇上师大,207,29.0,15.3
2017/10/17 20,0.6,浦东川沙,193,31.0,14.9
2017/10/17 20,0.5,浦东张江,195,35.0,16.0
2017/10/17 20,0.4,浦东监测站,228,46.0,12.1
2017/10/17 20,0.6,全市平均,0,38.0,14.4
time,co,sitename,siteid,no2,pm25
2017/10/17 21,0.4,普陀监测站,201,50.0,11.8
2017/10/17 21,0.7,杨浦四漂,209,34.0,15.4
2017/10/17 21,0.8,卢湾师专附小,185,49.0,15.9
2017/10/17 21,0.5,*青浦淀山湖,203,30.0,15.9
2017/10/17 21,0.6,虹口凉城,215,45.0,15.2
2017/10/17 21,0.7,静安监测站,183,46.0,14.9
2017/10/17 21,0.8,徐汇上师大,207,36.0,15.6
2017/10/17 21,0.6,浦东川沙,193,32.0,15.1
2017/10/17 21,0.5,浦东张江,195,34.0,16.2
2017/10/17 21,0.4,浦东监测站,228,62.0,12.5
2017/10/17 21,0.6,全市平均,0,43.1,14.7
time,co,sitename,siteid,no2,pm25
2017/10/17 22,0.5,普陀监测站,201,50.0,12.2
2017/10/17 22,0.7,杨浦四漂,209,36.0,15.8
2017/10/17 22,0.7,卢湾师专附小,185,45.0,16.2
2017/10/17 22,0.5,*青浦淀山湖,203,36.0,16.1
2017/10/17 22,0.6,虹口凉城,215,49.0,15.4
2017/10/17 22,0.8,静安监测站,183,47.0,15.2
2017/10/17 22,0.8,徐汇上师大,207,33.0,15.9
2017/10/17 22,0.5,浦东川沙,193,28.0,15.4
2017/10/17 22,0.5,浦东张江,195,38.0,16.6
2017/10/17 22,0.5,浦东监测站,228,64.0,12.8
2017/10/17 22,0.6,全市平均,0,43.3,15.0
time,co,sitename,siteid,no2,pm25
2017/10/17 23,0.5,普陀监测站,201,50.0,12.6
2017/10/17 23,0.7,杨浦四漂,209,38.0,16.1
2017/10/17 23,0.7,卢湾师专附小,185,46.0,16.5
2017/10/17 23,0.5,*青浦淀山湖,203,33.0,16.5
2017/10/17 23,0.7,虹口凉城,215,46.0,15.7
2017/10/17 23,0.7,静安监测站,183,45.0,15.5
2017/10/17 23,0.7,徐汇上师大,207,33.0,16.0
2017/10/17 23,0.6,浦东川沙,193,34.0,15.5
2017/10/17 23,0.5,浦东张江,195,47.0,17.3
2017/10/17 23,0.5,浦东监测站,228,58.0,13.1
2017/10/17 23,0.6,全市平均,0,44.1,15.3
